case_id,case_family,category,expected_action,expected_reason,actual_action,actual_reason,Claim Recall (%),Context Precision (%),Faithfulness (%),Claim F1 (%),NRR correct,Metric unit,infrastructure_error
ANS-DEF-001,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,12.5,100.0,40.0,,percent_0_100,
ANS-DEF-002,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,50.0,87.5,37.5,,percent_0_100,
ANS-DEF-003,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,25.0,100.0,100.0,,percent_0_100,
ANS-DEF-004,answerable_single_turn,definition_classification,generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,percent_0_100,
ANS-DEF-005,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,25.0,100.0,100.0,,percent_0_100,
ANS-DEF-006,answerable_single_turn,definition_classification,generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,percent_0_100,
ANS-DEF-007,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,50.0,100.0,28.57142857142857,,percent_0_100,
ANS-DEF-008,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,12.5,100.0,66.66666666666666,,percent_0_100,
ANS-DEF-009,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,12.5,100.0,0.0,,percent_0_100,
ANS-DEF-010,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,16.666666666666664,100.0,28.57142857142857,,percent_0_100,
ANS-TRT-001,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,60.0,50.0,100.0,15.384615384615385,,percent_0_100,
ANS-TRT-002,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,100.0,100.0,33.333333333333336,,percent_0_100,
ANS-TRT-003,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,50.0,75.0,85.71428571428571,,percent_0_100,
ANS-TRT-004,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,75.0,37.5,100.0,66.66666666666666,,percent_0_100,
ANS-TRT-005,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,0.0,0.0,87.5,0.0,,percent_0_100,
ANS-TRT-006,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,0.0,0.0,25.0,0.0,,percent_0_100,
ANS-TRT-007,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,25.0,66.66666666666666,50.0,,percent_0_100,
ANS-TRT-008,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,50.0,25.0,76.92307692307693,13.333333333333336,,percent_0_100,
ANS-TRT-009,answerable_single_turn,treatment_use_combination,generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,percent_0_100,
ANS-TRT-010,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,16.666666666666664,100.0,100.0,,percent_0_100,
ANS-TRT-011,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,0.0,0.0,75.0,0.0,,percent_0_100,
ANS-TRT-012,answerable_single_turn,treatment_use_combination,generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,percent_0_100,
ANS-MEC-001,answerable_single_turn,mechanism_role,generate,,generate,evidence_sufficient,100.0,12.5,100.0,100.0,,percent_0_100,
ANS-MEC-002,answerable_single_turn,mechanism_role,generate,,generate,evidence_sufficient,100.0,40.0,100.0,30.76923076923077,,percent_0_100,
ANS-MEC-003,answerable_single_turn,mechanism_role,generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,percent_0_100,
ANS-MEC-004,answerable_single_turn,mechanism_role,generate,,generate,evidence_sufficient,100.0,33.33333333333333,100.0,74.99999999999999,,percent_0_100,
ANS-MEC-005,answerable_single_turn,mechanism_role,generate,,generate,evidence_sufficient,100.0,12.5,100.0,25.0,,percent_0_100,
ANS-MEC-006,answerable_single_turn,mechanism_role,generate,,generate,evidence_sufficient,100.0,75.0,100.0,74.99999999999999,,percent_0_100,
ANS-MEC-007,answerable_single_turn,mechanism_role,generate,,generate,evidence_sufficient,75.0,12.5,100.0,70.58823529411765,,percent_0_100,
ANS-MEC-008,answerable_single_turn,mechanism_role,generate,,generate,evidence_sufficient,50.0,60.0,75.0,50.0,,percent_0_100,
ANS-ADV-001,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,100.0,100.0,100.0,88.8888888888889,,percent_0_100,
ANS-ADV-002,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,33.33333333333333,25.0,100.0,28.571428571428577,,percent_0_100,
ANS-ADV-003,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,25.0,25.0,77.77777777777779,40.0,,percent_0_100,
ANS-ADV-004,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,100.0,20.0,100.0,100.0,,percent_0_100,
ANS-ADV-005,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,33.33333333333333,20.0,100.0,31.57894736842105,,percent_0_100,
ANS-ADV-006,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,75.0,25.0,100.0,31.578947368421055,,percent_0_100,
ANS-ADV-007,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,100.0,33.33333333333333,71.42857142857143,9.09090909090909,,percent_0_100,
ANS-ADV-008,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,100.0,66.66666666666666,100.0,66.66666666666666,,percent_0_100,
ANS-ADV-009,answerable_single_turn,adverse_effects_precautions,generate,,generate,evidence_sufficient,100.0,12.5,100.0,66.66666666666666,,percent_0_100,
