case_id,case_family,category,original_primary_classification,original_root_cause_layer,original_severity,validation_status,validated_primary_classification,validated_root_cause_layer,validated_severity,expected_action,expected_reason,actual_action,actual_reason,claim_recall_pct,context_precision_pct,faithfulness_pct,claim_f1_pct,nrr_correct,candidate_semantic_support,packed_semantic_support,structured_action_status,generation_scope_status,multi_turn_status,safety_status,original_secondary_flags,validated_secondary_flags,evidence_basis,correction_reason,validated_notes
ANS-DEF-001,answerable_single_turn,definition_classification,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,CORRECTED,EXPECTED_METRIC_BEHAVIOR,metric_behavior,LOW,generate,,generate,evidence_sufficient,100.0,12.5,100.0,30.76923076923077,,SUPPORTED,SUPPORTED,ALIGNED,EXPECTED_SCOPE_VARIATION,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|over_answering|retrieval_noise,expected_metric_penalty,The lesion examples explain the requested definition and anatomical unit; extra supported detail is not materially out of scope.,"Extra claims are relevant supported explanation or narrow-gold effects, not proven material over-answering.","Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-002,answerable_single_turn,definition_classification,SYSTEM_BUG_GENERATION_OMISSION,generation,MEDIUM,CORRECTED,PASS,none,,generate,,generate,evidence_sufficient,100.0,62.5,92.0,26.373626373626376,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|generation_omission|high_claim_recall|high_faithfulness|retrieval_noise,,"Packed evidence and response enumerate open/closed comedones, papules/pustules and nodules; no material omission is present.",Semantic review found complete support/answer coverage; the original heuristic classification is corrected.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-003,answerable_single_turn,definition_classification,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,12.5,100.0,50.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_noise,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-004,answerable_single_turn,definition_classification,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,CONFIRMED,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,NOT_SUPPORTED,NOT_SUPPORTED,FALSE_ABSTENTION,ALIGNED,NOT_APPLICABLE,ALIGNED,false_abstention|full_8_item_pack|low_claim_recall|low_context_precision|low_faithfulness|retrieval_noise|retry_used,semantic_retrieval_undercoverage,Saved candidates discuss acne causes and lesion appearance but not the melanin/not-dirt proposition for blackhead colour.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-005,answerable_single_turn,definition_classification,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,20.0,100.0,100.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-006,answerable_single_turn,definition_classification,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,20.0,100.0,80.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-007,answerable_single_turn,definition_classification,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,CONFIRMED,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,generate,,generate,evidence_sufficient,100.0,50.0,100.0,25.0,,SUPPORTED,SUPPORTED,ALIGNED,OVER_ANSWERING,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_claim_recall|high_faithfulness|over_answering|retrieval_gold_hit,over_answering,"The four requested pathogenesis factors are followed by a broad extra list of lifestyle, endocrine and environmental factors, materially expanding scope.",Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-008,answerable_single_turn,definition_classification,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,14.285714285714285,100.0,44.44444444444445,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-009,answerable_single_turn,definition_classification,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,12.5,100.0,40.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_noise,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-DEF-010,answerable_single_turn,definition_classification,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,CONFIRMED,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,NOT_SUPPORTED,NOT_SUPPORTED,FALSE_ABSTENTION,ALIGNED,NOT_APPLICABLE,ALIGNED,false_abstention|full_8_item_pack|low_claim_recall|low_context_precision|low_faithfulness|retrieval_noise|retry_used,semantic_retrieval_undercoverage,"Candidates mention PIH and melanin lightening, but not melanin deposition in recently inflamed skin.",Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
