case_id,case_family,category,expected_action,expected_reason,actual_action,actual_reason,Claim Recall (%),Context Precision (%),Faithfulness (%),Claim F1 (%),NRR correct,Metric unit,infrastructure_error
ANS-DEF-001,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,12.5,100.0,40.0,,percent_0_100,
ANS-DEF-002,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,80.0,100.0,13.333333333333334,,percent_0_100,
ANS-DEF-003,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,12.5,100.0,30.76923076923077,,percent_0_100,
ANS-DEF-004,answerable_single_turn,definition_classification,generate,,abstain,evidence_gap,0.0,0.0,75.0,0.0,,percent_0_100,
ANS-DEF-005,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,20.0,100.0,100.0,,percent_0_100,
ANS-DEF-006,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,20.0,100.0,80.0,,percent_0_100,
ANS-DEF-007,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,50.0,60.0,26.08695652173913,,percent_0_100,
ANS-DEF-008,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,42.857142857142854,100.0,40.0,,percent_0_100,
ANS-DEF-009,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,0.0,0.0,92.85714285714286,0.0,,percent_0_100,
ANS-DEF-010,answerable_single_turn,definition_classification,generate,,generate,evidence_sufficient,100.0,20.0,100.0,0.0,,percent_0_100,
ANS-TRT-001,answerable_single_turn,treatment_use_combination,generate,,abstain,evidence_gap,66.66666666666666,50.0,72.72727272727273,26.666666666666668,,percent_0_100,
ANS-TRT-002,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,20.0,100.0,74.99999999999999,,percent_0_100,
ANS-TRT-003,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,66.66666666666666,80.0,46.15384615384615,,percent_0_100,
ANS-TRT-004,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,75.0,12.5,100.0,46.15384615384615,,percent_0_100,
ANS-TRT-005,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,40.0,93.75,22.22222222222222,,percent_0_100,
ANS-TRT-006,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,0.0,0.0,100.0,0.0,,percent_0_100,
ANS-TRT-007,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,57.14285714285714,100.0,28.57142857142857,,percent_0_100,
ANS-TRT-008,answerable_single_turn,treatment_use_combination,generate,,generate,evidence_sufficient,100.0,87.5,100.0,11.11111111111111,,percent_0_100,
